start_time, end_time, class, beam, duration_minutes
2022-06-01 17:27:30, 2022-06-01 17:32:30, 1, 2, 5.0
2022-06-03 18:17:30, 2022-06-03 18:22:30, 3, 1, 5.0
2022-06-05 03:07:30, 2022-06-05 03:17:30, 1, 1, 10.0
2022-06-06 00:22:30, 2022-06-06 00:27:30, 1, 3, 5.0
2022-06-09 21:02:30, 2022-06-09 21:07:30, 1, 2, 5.0
2022-06-09 21:07:30, 2022-06-09 21:12:30, 3, 2, 5.0
2022-06-09 16:47:30, 2022-06-09 16:52:30, 3, 3, 5.0
2022-06-16 04:32:30, 2022-06-16 04:37:30, 1, 1, 5.0
2022-06-16 04:42:30, 2022-06-16 04:47:30, 1, 1, 5.0
2022-06-16 05:02:30, 2022-06-16 05:07:30, 1, 1, 5.0
